feature_selection_method,n_feature_to_select,model_name,sn,sp,acc,mcc,auc
RFE_DT,45,KNN,0.875,0.545454545,0.740740741,0.369409417,0.710227273
RFE_DT,3,KNN,0.6875,0.727272727,0.703703704,0.232526531,0.707386364
RFE_DT,29,KNN,0.8125,0.545454545,0.703703704,0.263822427,0.678977273
RFE_DT,125,KNN,0.6875,0.636363636,0.666666667,0.187516233,0.661931818
RFE_DT,126,KNN,0.6875,0.636363636,0.666666667,0.187516233,0.661931818
RFE_MLR,56,KNN,0.75,0.545454545,0.666666667,0.194051466,0.647727273
RFE_DT,46,KNN,0.75,0.545454545,0.666666667,0.194051466,0.647727273
RFE_DT,60,KNN,0.75,0.545454545,0.666666667,0.194051466,0.647727273
RFE_MLR,27,DT,0.5625,0.727272727,0.62962963,0.148295921,0.644886364
RFE_MLR,28,DT,0.5625,0.727272727,0.62962963,0.148295921,0.644886364
RFE_DT,42,KNN,0.8125,0.454545455,0.666666667,0.20985489,0.633522727
RFE_DT,94,KNN,0.8125,0.454545455,0.666666667,0.20985489,0.633522727
RFE_MLR,15,KNN,0.625,0.636363636,0.62962963,0.14299236,0.630681818
RFE_MLR,38,DT,0.625,0.636363636,0.62962963,0.14299236,0.630681818
RFE_DT,4,SVM,0.625,0.636363636,0.62962963,0.14299236,0.630681818
RFE_DT,122,KNN,0.625,0.636363636,0.62962963,0.14299236,0.630681818
RFE_DT,123,KNN,0.625,0.636363636,0.62962963,0.14299236,0.630681818
RFE_DT,124,KNN,0.625,0.636363636,0.62962963,0.14299236,0.630681818
RFE_MLR,36,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,14,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,43,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,58,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,116,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,117,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,118,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,119,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,134,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_DT,135,KNN,0.6875,0.545454545,0.62962963,0.141060982,0.616477273
RFE_MLR,16,DT,0.5,0.727272727,0.592592593,0.113636364,0.613636364
RFE_MLR,31,DT,0.5,0.727272727,0.592592593,0.113636364,0.613636364
RFE_MLR,57,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,23,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,38,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,47,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,50,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,52,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,56,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,93,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,98,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_DT,113,KNN,0.75,0.454545455,0.62962963,0.143019388,0.602272727
RFE_MLR,6,DT,0.5625,0.636363636,0.592592593,0.104530251,0.599431818
RFE_MLR,7,DT,0.5625,0.636363636,0.592592593,0.104530251,0.599431818
RFE_MLR,9,KNN,0.5625,0.636363636,0.592592593,0.104530251,0.599431818
RFE_MLR,29,DT,0.5625,0.636363636,0.592592593,0.104530251,0.599431818
RFE_DT,5,KNN,0.5625,0.636363636,0.592592593,0.104530251,0.599431818
RFE_DT,36,KNN,0.8125,0.363636364,0.62962963,0.15083417,0.588068182
RFE_DT,54,KNN,0.8125,0.363636364,0.62962963,0.15083417,0.588068182
RFE_MLR,14,DT,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_MLR,15,DT,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_MLR,36,DT,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_MLR,48,DT,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_MLR,54,KNN,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_MLR,60,DT,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,2,DT,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,7,DT,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,9,SVM,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,13,KNN,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,19,KNN,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,87,KNN,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,121,KNN,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,132,KNN,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_DT,133,KNN,0.625,0.545454545,0.592592593,0.097312368,0.585227273
RFE_MLR,103,DT,0.4375,0.727272727,0.555555556,0.081465817,0.582386364
RFE_MLR,104,DT,0.4375,0.727272727,0.555555556,0.081465817,0.582386364
RFE_MLR,107,DT,0.4375,0.727272727,0.555555556,0.081465817,0.582386364
RFE_MLR,139,DT,0.4375,0.727272727,0.555555556,0.081465817,0.582386364
RFE_MLR,8,SVM,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_MLR,9,SVM,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_MLR,35,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,6,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,15,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,28,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,31,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,39,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,55,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,61,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,83,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,84,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,91,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,97,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,100,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,108,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,109,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,110,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,136,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_DT,137,KNN,0.6875,0.454545455,0.592592593,0.091409053,0.571022727
RFE_MLR,19,KNN,0.5,0.636363636,0.555555556,0.069786316,0.568181818
RFE_MLR,24,DT,0.5,0.636363636,0.555555556,0.069786316,0.568181818
RFE_MLR,25,DT,0.5,0.636363636,0.555555556,0.069786316,0.568181818
RFE_MLR,30,DT,0.5,0.636363636,0.555555556,0.069786316,0.568181818
RFE_DT,3,DT,0.5,0.636363636,0.555555556,0.069786316,0.568181818
RFE_DT,48,KNN,0.5,0.636363636,0.555555556,0.069786316,0.568181818
RFE_MLR,14,SVM,0.75,0.363636364,0.592592593,0.086464308,0.556818182
RFE_MLR,70,KNN,0.75,0.363636364,0.592592593,0.086464308,0.556818182
RFE_MLR,71,KNN,0.75,0.363636364,0.592592593,0.086464308,0.556818182
RFE_MLR,72,KNN,0.75,0.363636364,0.592592593,0.086464308,0.556818182
RFE_DT,24,KNN,0.75,0.363636364,0.592592593,0.086464308,0.556818182
RFE_DT,40,KNN,0.75,0.363636364,0.592592593,0.086464308,0.556818182
